,latitude,longitude,floorSize,price,address,bedrooms,bathrooms,type
95,33.730584,-116.368579,1642.0,475000.0, Palm Desert,3,2.0, House for sale
96,33.786685,-116.452312,1512.0,64900.0, Cathedral City,2,2.0, Home for sale
97,33.800326,-116.509623,1266.0,375000.0, Palm Springs,3,2.0, Condo for sale
98,33.801651,-116.534622,1240.0,430000.0, Palm Springs,2,2.0, Condo for sale
99,33.735912,-116.393302,1621.0,449000.0, Rancho Mirage,3,2.0, Condo for sale
100,33.642184,-116.255103,5800.0,2695000.0, La Quinta,6,5.0, House for sale
101,33.726954,-116.376463,1680.0,599000.0, Palm Desert,3,2.0, House for sale
102,33.734741,-116.321071,1818.0,499900.0, Palm Desert,3,3.0, House for sale
103,33.753797,-116.384096,2731.0,689000.0, Palm Desert,6,4.0, House for sale
104,33.982989,-116.535566,1228.0,339000.0, Desert Hot Springs,2,2.0, House for sale
105,33.654435,-116.280606,2497.0,781990.0, La Quinta,3,4.0, New construction
106,33.830577,-116.545077,1964.0,1095000.0, Palm Springs,2,3.0, House for sale
107,33.829516,-116.527914,1150.0,275000.0, Palm Springs,2,2.0, Condo for sale
108,33.923795,-116.447089,1370.0,195000.0, Desert Hot Springs,3,2.0, New construction
109,33.79526,-116.403182,3693.0,2650000.0, Rancho Mirage,3,4.0, House for sale
110,33.951317,-116.512228,1580.0,394000.0, Desert Hot Springs,4,2.0, New construction
111,33.935281,-116.484334,,67500.0, Desert Hot Springs,2,2.0, Home for sale
112,33.801067,-116.443062,2384.0,685000.0, Rancho Mirage,3,3.0, House for sale
113,33.766935,-116.390551,1440.0,217000.0, Palm Desert,2,2.0, Home for sale
114,33.655257,-116.265891,3567.0,1500000.0, The Residence Club at PGA WEST,3,4.0, New construction
115,33.807102,-116.381789,1056.0,119000.0, Thousand Palms,2,2.0, Home for sale
116,33.858117,-116.521752,1403.0,649000.0, Palm Springs,3,2.0, House for sale
117,33.798469,-116.461552,1800.0,145000.0, Cathedral City,2,2.0, Home for sale
118,33.791907,-116.46644,1371.0,328500.0, Cathedral City,2,2.0, Condo for sale
119,33.796003,-116.469423,1505.0,349000.0, Cathedral City,2,3.0, Condo for sale
120,33.853461,-116.538038,1850.0,1500000.0, Palm Springs,4,3.0, House for sale
121,33.775439,-116.267036,2850.0,489000.0, Indio,4,3.0, House for sale
122,33.800531,-116.439,2727.0,695000.0, Rancho Mirage,3,3.0, Condo for sale
123,33.923795,-116.447089,1370.0,199000.0, Desert Hot Springs,3,2.0, New construction
125,33.752887,-116.221362,2405.0,499900.0, Indio,4,3.0, House for sale
126,33.746241,-116.389905,1303.0,380000.0, Palm Desert,2,2.0, Condo for sale
127,33.779435,-116.447286,,69900.0, Cathedral City,2,2.0, Home for sale
128,33.797303,-116.295505,1914.0,440.0, Palm Desert,2,2.0, Auction
129,33.837167,-116.502146,2555.0,1349000.0, Palm Springs,2,3.0, House for sale
130,33.864474,-116.537741,2029.0,795000.0, Flair at Miralon,3,3.0, New construction
131,33.731749,-116.396912,2107.0,575000.0, Palm Desert,3,3.0, House for sale
132,33.732904,-116.400323,990.0,599000.0, Rancho Mirage,2,2.0, House for sale
133,33.928387,-116.452178,1050.0,84500.0, Desert Hot Springs,2,2.0, Home for sale
134,33.722324,-116.262141,2020.0,578900.0, Indio,2,2.0, House for sale
136,33.641749,-116.237681,4922.0,2047000.0, La Quinta,5,5.0, House for sale
137,33.660226,-116.298566,7516.0,4290000.0, La Quinta,4,6.0, House for sale
138,33.772732,-116.526689,2921.0,2995000.0, Palm Springs,3,4.0, House for sale
139,33.695708,-116.379395,1705.0,695000.0, Palm Desert,3,3.0, Condo for sale
140,33.791171,-116.532767,2706.0,1799000.0, Palm Springs,3,4.0, House for sale
141,33.762486,-116.377329,1950.0,339000.0, Palm Desert,3,2.0, Home for sale
142,33.766491,-116.530202,3820.0,1495000.0, Palm Springs,4,5.0, House for sale
143,33.696094,-116.402623,1786.0,399000.0, Palm Desert,3,2.0, Condo for sale
144,33.695804,-116.252982,2667.0,1745000.0, Indio,3,3.0, House for sale
145,33.712577,-116.394427,1140.0,295000.0, Palm Desert,2,2.0, Condo for sale
146,33.694241,-116.256891,4121.0,929000.0, Indio,5,5.0, House for sale
147,33.739732,-116.388689,1334.0,499999.0, Palm Desert,2,2.0, Condo for sale
148,33.802327,-116.479141,1034.0,315000.0, Palm Springs,1,2.0, Condo for sale
149,33.759909,-116.438004,900.0,173000.0, Rancho Mirage,2,1.0, Home for sale
150,33.864598,-116.564467,1835.0,503000.0, Palm Springs,3,2.0, House for sale
152,33.64656,-116.242444,4716.0,2195000.0, La Quinta,3,5.0, House for sale
153,33.753118,-116.381081,2300.0,765000.0, Palm Desert,4,3.0, House for sale
154,33.740285,-116.395671,1680.0,500000.0, Rancho Mirage,3,2.0, Condo for sale
155,33.667949,-116.247033,7388.0,8495000.0, La Quinta,5,5.0, House for sale
156,33.750825,-116.383726,2989.0,999000.0, Palm Desert,4,4.0, House for sale
157,33.705891,-116.35446,7216.0,3750000.0, Indian Wells,4,6.0, House for sale
158,33.653928,-116.269955,1330.0,489000.0, La Quinta,2,2.0, Condo for sale
159,33.758642,-116.403616,1670.0,429000.0, Rancho Mirage,2,2.0, Condo for sale
161,33.749899,-116.254382,2569.0,504000.0, Indio,2,3.0, House for sale
162,33.9514,-116.512229,1580.0,394000.0, Desert Hot Springs,4,2.0, New construction
163,33.718562,-116.39194,1119.0,429900.0, Palm Desert,2,2.0, Condo for sale
164,33.730833,-116.286606,2525.0,599000.0, La Quinta,4,3.0, House for sale
165,33.856143,-116.249619,3800.0,650000.0, Desert Hot Springs,8,5.0, House for sale
166,33.756238,-116.335915,2430.0,995000.0, Palm Desert,3,4.0, House for sale
167,33.795981,-116.460351,1488.0,62900.0, Cathedral City,2,2.0, Home for sale
168,33.956266,-116.508117,816.0,229000.0, Desert Hot Springs,2,1.0, House for sale
